# Note - Full 9 minute fly of continous maneuvers. Snakes, Wall, Diamond Loops, piro-flips, funnels, piro circles, piro-flip circles, aileron tic-tocs, elevator tic-tocs, continous forward flips, and many combo maneuvers. Motor temperature at end of flight was 125F. Battery was 101F.
# Graph Data - 1 Sessions - Saved Wednesday, September 29, 2010
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
0.9702      , 0.000       , 0.00        , 0.000       , 0.0         , 76.8        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.8         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
0.9702      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
1.0642      , 0.000       , 41.63       , 0.000       , 0.0         , 87.9        , 0           
1.0799      , 0.000       , 41.63       , 0.000       , 0.0         , 84.1        , 0           
1.1426      , 2.353       , 41.63       , 0.423       , 0.0         , 87.9        , 0           
1.1426      , 4.706       , 41.63       , 0.634       , 0.0         , 87.9        , 0           
1.1426      , 7.059       , 41.63       , 0.845       , 0.8         , 87.9        , 7313        
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 10163       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 12389       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 88.7        , 13936       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 15479       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 89.5        , 16694       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 17661       
1.1504      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 18645       
1.1504      , 7.059       , 41.63       , 0.634       , 0.8         , 87.9        , 19537       
1.1504      , 7.059       , 41.63       , 0.634       , 0.8         , 88.7        , 20335       
1.1426      , 7.059       , 41.63       , 0.634       , 0.0         , 88.7        , 21070       
1.1504      , 7.059       , 41.63       , 0.634       , 0.8         , 88.7        , 21813       
1.1426      , 7.059       , 41.63       , 0.634       , 0.8         , 88.7        , 22411       
1.1975      , 8.235       , 41.63       , 0.845       , 0.8         , 88.7        , 23122       
1.2288      , 10.588      , 41.63       , 1.057       , 1.6         , 88.7        , 24219       
1.2445      , 12.941      , 41.63       , 1.268       , 3.3         , 88.7        , 26042       
1.2367      , 15.686      , 41.41       , 1.268       , 4.9         , 88.7        , 28595       
1.2445      , 18.039      , 41.41       , 1.690       , 5.7         , 88.7        , 31218       
1.2367      , 18.824      , 41.41       , 1.690       , 7.3         , 87.9        , 34371       
1.2445      , 18.824      , 41.41       , 1.690       , 7.3         , 89.5        , 37257       
1.2445      , 18.824      , 41.41       , 1.479       , 6.5         , 89.5        , 39414       
1.2445      , 18.824      , 41.41       , 1.479       , 6.5         , 89.5        , 41246       
1.2837      , 19.608      , 41.41       , 1.479       , 6.5         , 89.5        , 43073       
1.3229      , 21.961      , 41.41       , 1.690       , 7.3         , 89.5        , 45170       
1.3699      , 24.314      , 41.41       , 1.690       , 9.0         , 90.2        , 47481       
1.4326      , 27.059      , 41.20       , 1.690       , 9.8         , 90.2        , 50164       
1.5658      , 29.412      , 41.20       , 2.113       , 11.4        , 89.5        , 52756       
1.5815      , 32.157      , 41.20       , 2.113       , 13.0        , 90.2        , 55783       
1.6677      , 34.118      , 41.20       , 2.113       , 14.7        , 90.2        , 59179       
1.6833      , 36.863      , 41.20       , 2.113       , 15.5        , 91.0        , 61869       
1.6833      , 39.216      , 41.20       , 1.902       , 15.5        , 91.0        , 64203       
1.6833      , 41.569      , 40.99       , 1.902       , 16.3        , 91.0        , 66288       
1.6990      , 43.922      , 41.20       , 2.113       , 17.1        , 91.0        , 68975       
1.6990      , 46.667      , 41.20       , 2.113       , 17.1        , 91.8        , 70891       
1.6990      , 49.020      , 41.20       , 1.902       , 17.9        , 91.8        , 72917       
1.7069      , 51.373      , 41.41       , 2.113       , 17.9        , 93.4        , 75338       
1.7069      , 53.725      , 41.20       , 2.113       , 18.7        , 92.6        , 76754       
1.7069      , 56.471      , 41.41       , 1.902       , 18.7        , 92.6        , 78829       
1.7225      , 58.824      , 41.41       , 2.113       , 19.5        , 92.6        , 80381       
1.7147      , 61.176      , 41.20       , 2.113       , 20.4        , 93.4        , 81667       
1.7225      , 63.529      , 41.20       , 2.113       , 21.2        , 93.4        , 82995       
1.7225      , 66.275      , 41.20       , 1.902       , 21.2        , 93.4        , 84716       
1.7304      , 68.627      , 41.20       , 1.902       , 21.2        , 93.4        , 85784       
1.7382      , 71.373      , 41.20       , 1.690       , 22.0        , 93.4        , 86511       
1.7460      , 73.333      , 41.20       , 1.902       , 22.0        , 93.4        , 87251       
1.7460      , 76.078      , 41.20       , 1.902       , 22.8        , 94.2        , 88384       
1.7460      , 78.431      , 40.99       , 1.690       , 24.4        , 93.4        , 88768       
1.7460      , 80.784      , 40.99       , 1.479       , 24.4        , 93.4        , 90339       
1.7460      , 81.569      , 40.78       , 1.479       , 25.2        , 93.4        , 91555       
1.7460      , 81.569      , 40.78       , 1.268       , 24.4        , 94.2        , 91967       
1.7460      , 81.569      , 40.78       , 1.268       , 23.6        , 94.2        , 92383       
1.7460      , 81.961      , 40.78       , 1.479       , 22.8        , 86.4        , 92383       
1.7617      , 83.922      , 40.57       , 1.268       , 23.6        , 94.2        , 92803       
1.7617      , 84.314      , 40.78       , 1.479       , 24.4        , 94.2        , 92803       
1.7774      , 85.490      , 40.78       , 1.057       , 24.4        , 94.2        , 94086       
1.7774      , 85.882      , 40.57       , 1.057       , 23.6        , 95.0        , 94961       
1.7852      , 86.667      , 40.57       , 1.057       , 23.6        , 95.0        , 95405       
1.7852      , 86.667      , 40.57       , 1.057       , 23.6        , 95.0        , 95853       
1.7852      , 86.667      , 40.57       , 1.057       , 22.8        , 95.0        , 95853       
1.7852      , 86.667      , 40.57       , 0.845       , 22.8        , 95.0        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 92.6        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 98.2        , 95853       
1.7852      , 87.059      , 40.57       , 1.057       , 22.8        , 93.4        , 95405       
1.7774      , 86.275      , 40.57       , 1.057       , 22.8        , 95.0        , 95405       
1.7774      , 86.275      , 40.36       , 1.057       , 22.8        , 95.0        , 95853       
1.7852      , 86.275      , 40.57       , 1.057       , 22.0        , 89.5        , 95853       
1.7852      , 87.451      , 40.36       , 0.845       , 22.8        , 95.0        , 94961       
1.7931      , 88.235      , 40.36       , 1.268       , 26.9        , 95.0        , 94086       
1.8087      , 89.804      , 39.94       , 1.479       , 35.0        , 95.0        , 92383       
1.8166      , 90.588      , 39.94       , 2.113       , 48.9        , 95.0        , 90339       
1.8166      , 90.588      , 39.72       , 2.324       , 58.6        , 95.0        , 88384       
1.8166      , 90.588      , 39.72       , 2.113       , 61.1        , 95.0        , 89547       
1.7931      , 89.020      , 39.94       , 1.690       , 54.6        , 95.8        , 91146       
1.7852      , 87.451      , 40.36       , 0.845       , 39.9        , 95.8        , 96761       
